division,line,station_name,entrance_type,vending,staffing,ada,free_crossover,station_location,geometry
BMT,Brighton,Av H,Door,YES,FULL,FALSE,TRUE,"(40.62927, -73.961639)","c(-73.961639, 40.62927)"
BMT,Brighton,Av J,Door,YES,FULL,FALSE,TRUE,"(40.625039, -73.960803)","c(-73.960803, 40.625039)"
BMT,Brighton,Av M,Door,YES,FULL,FALSE,TRUE,"(40.617618, -73.959399)","c(-73.959399, 40.617618)"
BMT,Brighton,Av U,Door,YES,FULL,FALSE,TRUE,"(40.5993, -73.955929)","c(-73.955929, 40.5993)"
BMT,Brighton,Beverly Rd,Door,YES,FULL,FALSE,TRUE,"(40.644031, -73.964492)","c(-73.964492, 40.644031)"
BMT,Brighton,Brighton Beach,Escalator,YES,FULL,FALSE,TRUE,"(40.577621, -73.961376)","c(-73.961376, 40.577621)"
BMT,Brighton,Cortelyou Rd,Door,YES,FULL,FALSE,TRUE,"(40.640927, -73.963891)","c(-73.963891, 40.640927)"
BMT,Brighton,Kings Highway,Door,YES,FULL,FALSE,TRUE,"(40.60867, -73.957734)","c(-73.957734, 40.60867)"
BMT,Brighton,Neck Rd,Door,YES,FULL,FALSE,TRUE,"(40.595246, -73.955161)","c(-73.955161, 40.595246)"
BMT,Brighton,Newkirk Av,Door,YES,FULL,FALSE,TRUE,"(40.635082, -73.962793)","c(-73.962793, 40.635082)"
BMT,Brighton,Ocean Parkway,Stair,YES,FULL,FALSE,TRUE,"(40.576312, -73.968501)","c(-73.968501, 40.576312)"
BMT,Brighton,Parkside Av,Door,YES,FULL,FALSE,TRUE,"(40.655292, -73.961495)","c(-73.961495, 40.655292)"
BMT,Brighton,Prospect Park,Door,YES,FULL,TRUE,TRUE,"(40.661614, -73.962246)","c(-73.962246, 40.661614)"
BMT,Brighton,Sheepshead Bay,Door,YES,FULL,FALSE,TRUE,"(40.586896, -73.954155)","c(-73.954155, 40.586896)"
BMT,Brighton,Stillwell Av,Stair,YES,NONE,TRUE,TRUE,"(40.577422, -73.981233)","c(-73.981233, 40.577422)"
BMT,Brighton,West 8th St,Ramp,NO,NONE,FALSE,TRUE,"(40.576127, -73.975939)","c(-73.975939, 40.576127)"
BMT,Broadway,28th St,Stair,YES,FULL,FALSE,FALSE,"(40.745494, -73.988691)","c(-73.988691, 40.745494)"
BMT,Broadway,49th St,Stair,YES,FULL,TRUE,FALSE,"(40.759901, -73.984139)","c(-73.984139, 40.759901)"
BMT,Broadway,5th Av,Stair,YES,FULL,FALSE,TRUE,"(40.764811, -73.973347)","c(-73.973347, 40.764811)"
